customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,signup_date,last_purchase_date,total_purchases,total_spent,loyalty_program_member,customer_segment,preferred_channel,feedback_score,support_tickets_opened,churn_risk
cust_185,Katelyn,Nunez,justin07@example.net,001-296-277-8889x221,04094 Wolf Cliff Apt. 246,Lake Scottfort,Ohio,Germany,91314,2019-10-29,2021-09-07,522,45130.07,Yes,Platinum,Email,5,43,High
cust_22,Angela,Garcia,lauradixon@example.org,(732)978-6807x0423,89959 Chad Common,Maldonadoshire,Idaho,United States,88904,2019-12-16,2020-04-22,513,81889.06,Yes,Platinum,Email,5,17,High
cust_961,Keith,Taylor,cervantessandra@example.net,(551)681-2759x1700,4325 Shaffer Mountains,Anthonymouth,Indiana,Japan,50300,2020-01-26,2020-03-23,605,59594.34,Yes,Platinum,Email,5,27,High
cust_491,Olivia,Murphy,gentrylarry@example.com,001-291-753-2180x113,15682 Keith Plains,Sarahtown,Washington,United Kingdom,16935,2020-02-02,2021-04-30,638,77866.38,Yes,Platinum,Email,5,11,High
cust_352,Sean,Sparks,isaiahbrown@example.net,+1-597-503-2043x474,2106 Jones Cape Apt. 460,North Cristinaville,Illinois,India,16486,2020-04-06,2020-10-28,970,24633.8,Yes,Platinum,Email,5,19,High
cust_613,Randy,Ray,beverlymitchell@example.org,(652)601-2017x40209,888 Powell Road Suite 818,South Jacob,Rhode Island,China,16835,2020-04-15,2020-11-13,975,26447.48,Yes,Platinum,Email,5,40,High
cust_442,Bernard,Santos,lauracameron@example.org,4336051097,54265 Mcclure Mews Apt. 927,Goodwinbury,Pennsylvania,Brazil,72709,2020-06-07,2020-09-07,655,82523.35,Yes,Platinum,Email,5,19,High
cust_548,John,Mann,reedlisa@example.net,6778508849,7686 Martinez Cliffs,New Sarah,Massachusetts,China,76365,2020-07-05,2021-04-18,940,50351.07,Yes,Platinum,Email,5,48,High
cust_582,Bobby,Hunter,benjaminward@example.net,255-986-8173x418,0315 Ballard Pass Suite 939,Port Traceymouth,Kansas,United States,87228,2020-07-30,2020-09-30,910,21191.88,Yes,Platinum,Email,5,20,High
cust_756,Madeline,Tran,joshua22@example.com,001-355-713-3059,96351 Anthony Loop Suite 451,Port Lindsay,Nevada,United States,30566,2020-08-06,2021-01-08,782,58573.87,Yes,Platinum,Email,5,29,High
